Gauge_id,Gauge_text
0,CICASA / DE LA UNET
1,CICASA MMD-15 S
2,DOROT
3,MSDELAUNET
4,ABB
5,ACTARIS
6,ALFA
7,BADGERMETER
8,Cicasa NG 1/2
9,Cicasa NG 3/4
10,Delaunet MD-100
11,Delaunet MD-50
12,INVENSYS
13,KENT
14,Not Specified
15,Otras / desconocida
16,SENSUS
17,SHLUMBERGER
18,ELSTER
19,SAPPEL
20,ADCOM
21,AZTECA
22,ENDRESS-HOUSER
23,INVERCONTA
24,Badger combinado
25,ARAD
26,AV3STARS
27,Azteca 3VM
28,"BAR-METERS 1"""
29,Badger M25 Bronce
30,Delaunet WD-100
31,EWE
32,GENERICA
33,Iberconta
34,Kent ABB
35,MASTER
36,PRECISA II
37,RECORDAL
38,Y-T MD-15
39,ZENNER 1/2
40,Delaunet MD-15
41,TONHY
42,IESA
43,Delaunet MD-19
44,Delaunet MD-40
45,Delaunet MMD-19
46,MEXICANO
47,SAPPEL AQUARIUS
48,NEPTUNE
49,Badger RCDLL-25
50,AQUARIUS
51,Delaunet UD-15
52,Delaunet Aurus 3UM-15
53,MENECKE
